분야,전략목표,프로그램,성과,산출물
거버넌스_평화,분쟁예방 및 평화로운 삶의 기반,"커뮤니티 내 공동체 증진 및 경제 회복력 강화를 통한 사회통합, 안전하고 지속가능한 사회 조성 ","지난 2년간 분쟁을 겪었고 형태별로 공식 혹은 비공식 분쟁해결 매커니즘에 접근했던 인구의 비율(SDG16.3.3), 가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 기초 공공 서비스에 접근가능한 가구에 살고 있는 인구 비율(SDG1.4.1), 생산적이고 지속 가능한 농업에 사용되는 농지면적 비율(SDG2.4.1)","거버넌스, 법치, 분쟁갈등 관리 및 예방 관련 매커니즘 구축 및 활동 건수, 거버넌스, 법치, 분쟁갈등 관리 및 예방을 위한 교육, 훈련, 워크숍, 훈련 참가 주민 수, 국가 기본 체계 구축을 위한 중점 분야 필수 법/제도/정책/계획/컨설팅 수립 건 수, 제공/개선된 기초 공공서비스/인프라 수 "
거버넌스_평화,참여적이고 포용적인 민주주의 ,"포용적인 선거 및 입법활동 지원, 참여적 민주주의 기반 확대 지원 ","가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 정보에 대한 대중의 접근을 보장하기 위해 헌법과 법률에 근거한 정책의 채택 및 이행도(SDG16.10.2), 선거, 입법, 민주적 참여 관련 법책략도정의 비준율, 제공된 디지털 서비스 및 인프라 이용자 수/제공된 디지털 서비스 및 인프라 활용 건수","선거, 입법, 민주적 참여 관련 분야 법/제도/정책/계획/컨설팅 수립 건 수, 선거, 입법, 민주적 참여 관련 훈련, 교육 참가 정부 관계자/시민 수, 제공된 디지털 서비스 및 인프라 개수, 선거, 입법, 민주적 참여 관련 인지제고 관련 역량강화 교육을 받은 시민 수"
거버넌스_평화,안전하고 정의로운 사법·치안제도,"안전하고 평등한 사법·치안 역량강화 지원, 정부 투명성 및 국민 신뢰도 강화 ","가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 사법·치안, 반부패/감사 관련 법/정책/전략/제도/규정의 비준율, 대상지역 범죄검거율, 관할 지역 구역 사법기관, 조직의 연간 적기 업무 처리 비율, 반부패/감사 기구의 조사 건수","사법·치안, 반부패/감사 관련 법/제도/정책/계획/컨설팅 수립 건 수, 사법·치안, 반부패/감사 관련  훈련, 교육 참가 정부 관계자 수, 제공된 디지털 서비스 및 인프라 개수, 사법치안, 반부패/감사 관련 인지제고 관련 역량강화 교육을 받은 시민 수"
거버넌스_평화,책임있고 효율적인 행정제도,"행정서비스 현대화 및 운영 역량 강화, 공공재정 및 경제 운영역량 강화","가장 최근 경험한 공공서비스에 대해 만족하는 인구비율(SDG16.6.2), 행정서비스 현대화, 공공재정, 경제운영 관련 법/정책/전략/제도/규정의 비준율, 제공된 디지털 서비스 및 인프라 이용자 수/제공된 디지털 서비스 및 인프라 활용 건수, 연간 행정조직의 적기 업무 처리 비율, 거시경제 지표","행정서비스 현대화, 공공재정, 경제운영 관련 법/제도/정책/계획/컨설팅 수립 건 수, 행정서비스 현대화, 공공재정, 경제운영 관련 훈련, 교육 참가 정부 관계자 수, 제공된 디지털 서비스 및 인프라 개수, 디지털 역량강화 교육을 받은 참여자 수"
과학기술혁신,과학기술분야 시스템 구축,과학기술정책수립 컨설팅 지원,과학기술혁신 법제도 개선 및 신규 정책 수(건)(협력 사업과의 직접적인 연관성이 있는 경우로 한정),"과학기술혁신 정책 또는 연구개발 관련 마스터플랜 수립 수(건), 과학기술혁신 정책 수립참여 또는 교육 수혜인원 수(명)"
과학기술혁신,과학기술분야 시스템 구축,과학기술 고등인력 양성지원,(SDG9.5.2)석박사급 연구개발 전문 인력 수(명) (성별분리),과학기술혁신 정책 또는 연구개발 관련 석박사 과정 참여자 수(건)
과학기술혁신,과학기술분야 시스템 구축,연구개발 인프라 구축 및 역량강화 지원,과학기술분야 논문 발표 수(건),신규 연구개발과제 수행 수(건)
과학기술혁신,기술혁신기반의 산업발전 지원,기술기반 창취업 지원,"(SDG9.b.1) 기술기반 창업기업 수(개) ,기술기반 창업 기업의 일자리 창출(대표자를 포함한 정기적인 급여가 지급되는 직원 수)","창업지원 프로그램 수혜기업 수(개), 창업지원 역량강화 프로그램 수혜인원 수(명) "
과학기술혁신,기술혁신기반의 산업발전 지원,산학연 연계활동 지원,산학연 연계 기술이전 또는 지식재산권 출원 수(건) (협력 사업과의 직접적인 연관성이 있는 경우로 한정),산학연 연계 연구개발 과제 수(건)
과학기술혁신,협력국 경제 · 사회문제의 혁신적 해결,"국내민간부문 혁신역량을 활용한 협력국 지원, 글로벌 혁신파트너십을 통한 협력국 지원",기술 기반 사업화(기술 검증/시제품 개발) 수(건) (협력 사업과의 직접적인 연관성이 있는 경우로 한정),"혁신적 문제해결 프로그램 참여기업 수(개), 혁신적 문제해결 프로그램 또는 협력국 현지 기술혁신센터 기반 기술개발 수(건), 혁신적 파트너십 프로그램 국제기관 또는 해외파트너(민간 파트너 포함) 수(개)"
